Year,Month,Cotagecheese.Prod,Icecream.Prod,Milk.Prod,N.CA.Fat.Price,Month.Count,monthNumSqred,monthNumCubed
1995,Jan,4.37,51.595,2.112,0.9803,1,1,1
1995,Feb,3.695,56.086,1.932,0.8924,2,4,8
1995,Mar,4.538,68.453,2.162,0.8924,3,9,27
1995,Apr,4.28,65.722,2.13,0.8967,4,16,64
1995,May,4.47,73.73,2.227,0.8967,5,25,125
1995,Jun,4.238,77.994,2.124,0.916,6,36,216
1995,Jul,4.377,81.475,2.184,0.916,7,49,343
1995,Aug,4.368,74.981,2.152,0.8934,8,64,512
1995,Sep,3.917,61.53,2.062,0.8934,9,81,729
1995,Oct,4.078,60.022,2.121,0.9434,10,100,1000
1995,Nov,3.611,52.772,2.03,0.9434,11,121,1331
1995,Dec,3.591,50.85,2.091,1.0811,12,144,1728
1996,Jan,3.698,53.116,2.109,1.0811,13,169,2197
1996,Feb,3.429,57.463,1.996,1.1022,14,196,2744
1996,Mar,3.717,68.929,2.173,1.1022,15,225,3375
1996,Apr,3.688,69.673,2.163,1.048,16,256,4096
1996,May,3.897,77.387,2.233,1.048,17,289,4913
1996,Jun,3.756,86.814,2.142,1.073,18,324,5832
1996,Jul,4.099,83.006,2.182,1.073,19,361,6859
1996,Aug,3.979,79.26,2.129,1.2333,20,400,8000
1996,Sep,3.73,69.216,2.138,1.2333,21,441,9261
1996,Oct,4.214,64.556,2.215,1.372,22,484,10648
1996,Nov,4.418,54.378,2.156,1.372,23,529,12167
1996,Dec,3.323,53.291,2.212,1.3974,24,576,13824
1997,Jan,3.761,55.565,2.177,1.3974,25,625,15625
1997,Feb,3.404,58.962,2.028,1.0004,26,676,17576
1997,Mar,3.552,72.866,2.361,1.0004,27,729,19683
1997,Apr,3.489,74.965,2.358,1.0004,28,784,21952
1997,May,3.398,75.425,2.417,1.0004,29,841,24389
1997,Jun,3.67,85.133,2.314,1.0247,30,900,27000
1997,Jul,3.697,83.144,2.386,1.0247,31,961,29791
1997,Aug,3.633,75.258,2.366,0.9407,32,1024,32768
1997,Sep,3.433,70.23,2.258,0.9407,33,1089,35937
1997,Oct,3.313,61.385,2.351,1.1614,34,1156,39304
1997,Nov,2.982,53.516,2.263,1.1614,35,1225,42875
1997,Dec,2.947,55.289,2.303,1.2054,36,1296,46656
1998,Jan,3.069,51.239,2.341,1.2054,37,1369,50653
1998,Feb,2.519,61.373,2.081,1.2463,38,1444,54872
1998,Mar,3.015,73.202,2.344,1.2463,39,1521,59319
1998,Apr,2.971,72.327,2.314,1.2435,40,1600,64000
1998,May,2.876,74.358,2.432,1.2435,41,1681,68921
1998,Jun,2.853,86.093,2.317,1.0849,42,1764,74088
1998,Jul,3.098,85.398,2.309,1.0849,43,1849,79507
1998,Aug,3.007,80.306,2.271,1.3208,44,1936,85184
1998,Sep,2.843,70.906,2.185,1.3208,45,2025,91125
1998,Oct,2.909,59.909,2.363,1.5216,46,2116,97336
1998,Nov,2.931,55.138,2.283,1.5216,47,2209,103823
1998,Dec,2.597,55.748,2.38,1.7015,48,2304,110592
1999,Jan,2.628,54.842,2.439,1.7015,49,2401,117649
1999,Feb,2.496,62.058,2.245,1.7723,50,2500,125000
1999,Mar,3.093,76.594,2.605,1.7723,51,2601,132651
